City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tadpatri,14.9167,78.0167,26.87,43,8,3.86,IN,1675655619
84,hithadhoo,-0.6,73.0833,27.38,70,96,4.89,MV,1675655470
85,de aar,-30.6497,24.0123,20.73,57,8,1.66,ZA,1675655619
86,hudiksvall,61.729,17.1036,-3.0,79,28,3.44,SE,1675655620
87,bengkulu,-3.8004,102.2655,28.63,63,79,5.11,ID,1675655620
88,dikson,73.5069,80.5464,-17.69,97,100,1.47,RU,1675655620
89,ust-nera,64.5667,143.2,-32.67,99,100,0.71,RU,1675655621
90,awjilah,29.1081,21.2869,10.91,48,90,6.38,LY,1675655106
91,avera,33.194,-82.5271,7.73,91,0,3.11,US,1675655621
92,hobart,-42.8794,147.3294,23.92,47,0,10.29,AU,1675655621
93,baglung,28.2719,83.5898,17.95,43,17,1.68,NP,1675655622
94,te anau,-45.4167,167.7167,18.75,51,92,3.06,NZ,1675655575
95,yellowknife,62.456,-114.3525,-19.69,77,100,5.66,CA,1675655622
96,esperance,-33.8667,121.9,30.22,39,73,7.05,AU,1675655623
97,fortuna,40.5982,-124.1573,8.29,95,100,4.63,US,1675655623
98,aklavik,68.2191,-135.0107,-41.34,100,39,0.67,CA,1675655623
99,talcahuano,-36.7167,-73.1167,13.82,94,4,1.03,CL,1675655415
100,nikolskoye,59.7035,30.7861,-2.06,97,100,1.51,RU,1675655624
101,zhanakorgan,43.9098,67.2495,0.24,75,100,2.37,KZ,1675655624
102,sarangani,5.4033,125.4636,27.28,77,70,7.62,PH,1675655625
103,great yarmouth,52.6083,1.7305,2.19,86,99,1.5,GB,1675655625
104,jacqueville,5.2052,-4.4146,26.67,87,100,4.93,CI,1675655625
105,herat,34.5,62.0,5.13,58,0,3.41,AF,1675655626
106,lagoa,39.05,-27.9833,15.29,87,100,6.91,PT,1675655626
107,valvedditturai,9.8167,80.1667,26.0,71,70,5.74,LK,1675655627
108,ivnya,51.0629,36.1343,-5.93,97,99,3.13,RU,1675655627
109,mufumbwe,-13.6833,24.8,17.03,99,100,1.49,ZM,1675655627
110,port hedland,-20.3167,118.5667,37.03,41,0,5.66,AU,1675655628
111,saskylakh,71.9167,114.0833,-41.24,100,97,1.76,RU,1675655628
112,deputatskiy,69.3,139.9,-38.75,98,79,2.33,RU,1675655054
113,mizdah,31.4451,12.9801,7.73,78,67,3.31,LY,1675655628
114,severnyy,50.677,36.5532,-3.98,93,100,2.0,RU,1675655063
115,mangochi,-14.4782,35.2645,21.38,94,100,1.64,MW,1675655629
116,gat,31.61,34.7642,12.44,24,4,8.82,IL,1675655617
117,sarkand,45.41,79.9186,-2.67,77,100,1.85,KZ,1675655044
118,bozhou,33.8772,115.7703,11.66,60,86,0.69,CN,1675655630
119,santa isabel,-23.3156,-46.2214,23.61,95,99,1.65,BR,1675655354
120,toamasina,-18.1667,49.3833,23.0,100,75,3.6,MG,1675655630
121,guerrero negro,27.9769,-114.0611,15.5,85,97,8.15,MX,1675655483
122,ilulissat,69.2167,-51.1,-17.99,71,100,8.23,GL,1675655630
123,hearst,49.6835,-83.6665,-25.86,100,56,1.26,CA,1675655631
124,yanam,16.7333,82.2167,27.44,52,11,1.69,IN,1675655631
125,ambilobe,-13.2,49.05,24.13,90,66,0.78,MG,1675655632
126,pisco,-13.7,-76.2167,23.03,88,0,3.6,PE,1675655632
127,longyearbyen,78.2186,15.6401,-4.09,86,20,4.63,SJ,1675655462
128,saraipali,21.3333,83.0,23.39,20,1,0.31,IN,1675655632
129,olmos,-5.9847,-79.7453,24.08,66,38,1.12,PE,1675655633
130,altamont,42.2068,-121.7372,1.61,83,100,0.45,US,1675655633
131,kruisfontein,-34.0033,24.7314,22.71,96,97,2.51,ZA,1675655633
132,belance,16.1833,121.25,26.18,62,100,0.69,PH,1675655634
133,gilgit,35.9221,74.3087,2.45,86,100,0.75,PK,1675655634
134,oliveira do hospital,40.3618,-7.8601,4.47,65,1,2.94,PT,1675655634
135,saint-pierre,-21.3393,55.4781,27.82,61,0,1.54,RE,1675655635
136,saint-philippe,-21.3585,55.7679,27.77,80,68,5.54,RE,1675655635
137,havelock,34.8791,-76.9013,13.29,90,100,0.45,US,1675655635
138,port alfred,-33.5906,26.891,22.32,94,67,3.3,ZA,1675655636
139,marzuq,14.4,46.4667,17.75,63,34,1.1,YE,1675655109
140,tasiilaq,65.6145,-37.6368,-5.91,93,100,4.19,GL,1675655613
141,singaraja,-8.112,115.0882,27.73,72,100,1.57,ID,1675655637
